,tweets,label
0,be mindful of the timing of your communication  proper timing can impact your emotional response as well as the ot,0
1,so why are we suffering disruption today  anxiety,1
2,millions of people around the world struggle silently with  anxiety   fear   isolation    depression  lacking acce,2
3,lets all help to smash the stigma   ptsi  smashthestigma  mentalhealth  firstresponders  ptsdawareness,0
4,despair deepens for young people as  pandemic drags  young despair deepens  covid   crisis  depression  anxiety,1
5,hello twitter  hello universe  sucks to be alone again tonight with no one to talk to    not sure why i even joined,2
6,looking for online therapy  i offer therapy via skype for managing  anxiety and  depression more effectively and w,0
7,work  anxiety is not an acceptable norm,1
8,had a bad night of anxiety and looked into the link between urination and anxiety  every,2
9,new episode out know         recovery  sober  drugfree  soberaf    step  addiction  mentalhealth  drugaddiction,0
10,here i go again    public transport  anxiety  wearamask,1
11,southwest [redacted] faces mental health professionals shortage as pandemic amplifies need for their services subscr,2
12,some of the best ways to beat  anxiety include eating healthy snacks  breathing  and even seeing a therapist,0
13,"unfamiliar thing attacking my inner peace  ocd  anxiety oh ""lord"" lead me  ",1
14,how do you guys handle anxiety over workload   anxiety,2
15,absent minded  this book is a must read   depression  anxiety  ptsd  bipolar  wellness,0
16,sometimes we live our lives with the quest to be  perfect  creating  stress on ourselves to do everything just righ,1
17,report   covid   pandemic pushes up rates of  anxiety   depression   alcohol and  drug abuse,2
18,take a deep breath  remember  whatever this week throws at you  you can handle it   mindfulnesswithaura,0
19,nice going tonight  anxiety,1
20,i cant be the only one who has expressed  anxiety to someone only to receive the response  you dont have to f,2
21,take a moment to breathe  everything will be ok  we promise you that   anxiety does not have to have the last say,0
22,anxiety life doesnt deserve my children  it hurts too much when i see them struggle   i dont get why people have,1
23,i can t see any reason to keep going on  i ll kill myself    anxiety,2
24,are you or someone you know dealing with adhd  check out our new virtual support group beginning february nd,0
25,so things seem to be breaking this past couple of days    first off  the car s radiator pump might have a leak whic,1
26,im overwhelmedin  painhave  anxiety im struggling to accept myself and my limitationsbecause they change see,2
27,new post  top tips on dealing with anxiety ft bloggers  advice   cosybloggersclub  anxiety  mhbloggers,0
28,our power went out and i cant fall back asleep  anxiety,1
29,blood test this morning  only nd time out the house since before christmas    anxiety overload  the amount of fear,2
30,if you know anyone who has experienced clinical  anxiety or  depression  please encourage them to sign up to the,0
31,today i m anxious about settling down    anxiety  anxietybot,1
32,im  feeling all the power of  anxiety,2
33,the best time to prepare for a storm is is while the sun is shining  schedule your first mental performance session,0
34,man these withdrawal attacks on top of my digestive issues   dont ever start smoking  quitting is rough   anxiety,1
35,at times  it feels shameful to share  depression  anxiety,2
36,do you know how to quit smoking weed  this article will give you strategies to help you overcome your addiction a,0
37,save our jobs and our families income  mentalhealthcafe  mentalhealthmatters  foodfriends  depression  anxiety save,1
38,"""dear fr  [redacted] it feels like the world is falling apart  i have so much anxiety right now  i simply dont know what",2
39,neurofeedback twitter special  free consultation trial session      then package of for       help for  adhd,0
40,stressed for a minute  got acne for a month  anxiety  acneacceptance,1
41,i am always surprised when people can go days  weeks  months without thinking of dying or ending it  every hour is,2
42,remember to check in with yourself   newblogpost  depression  anxiety  menthalhealth  beyou  beyoutiful,0
43,whats the point  young peoples despair deepens as covid    crisis drags on,1
44,good morning all  resources for your grief journey  loveneverdies  loss  grief  mourn,2
45,i was diagnosed with depression in oct  of and i m so glad that i have a good counselor and a good treatment p,0
46,how am i meant to change when change is the thing that pulls me down the most   mentalhealth  depression  anxiety,1
47,the struggle is fucking real  anxiety,2
48,skype counseling for  anxiety   depression  contact me if you are looking for online psychotherapy  visit,0
49,pls appreciate this problem has been ongoing for almost a year  now my son has this new management position,1
50,feel over anxious about all of problems that i wanna overcome but that s not perfect away  anxiety  helpme  badexperience  scared,2
51,the mental health impact of  covid   is real  if you are dealing with  depression   stress   anxiety as a result o,0
52,is anyone else starting to get anxiety about coming out of  lockdown and being around groups of strangers again   anxiety  mentalhealth,1
53,i ve been really struggling recently  i feel like i m at my  ability to cope  capacity  i m not sleeping  zero appetite,2
54,if you keep negative  tormenting thoughts out of your mind  positive  creative thoughts will replace them,0
55,depression  anxiety reading alot of tweets about how low people are feeling it s not somthing u can just snap out of,1
56,all my friends they dont know what its like they dont understand why i cant sleep through the night  anxiety,2
57,you were born to be real not perfect successful people never worry about what others are doing  real  perfection,0
58,imagine actually being happy  depression  anxiety,1
59,anyone else need someone to talk to feeling down and lonely  depression  mentalhealthawareness  anxiety,2
60,relax  calm  meditation highly recommended for  anxiety relief,0
61,i m struggling today  woke up to an email i didn t want  because my anxiety levels are still so high after seeing it,1
62,i think i m just a bother to everyone  i m going to hurt someone    anxiety,2
63,attachment anxiety  how to move past it and be happy  anxiety  relationshippitfalls,0
64,when you re an introverted asocial and the cashier woman ask you if you re okay and you can t decide if it s just a phase,1
